A,B,ssim_distance
affect_02_MEQ_37.png,affect_lie_BDI_0.3.png,0.7710857473543719
affect_02_MEQ_37.png,affect_state2_state2_1.png,0.8288226273068082
affect_02_MEQ_37.png,Airline_airline_airline_41.png,0.8505405670397865
affect_02_MEQ_37.png,Arbuthnot_Plague_Plague_1.png,0.8561740749368293
affect_02_MEQ_37.png,attenu_mag_accel_19.png,0.7852048197266178
affect_02_MEQ_37.png,AustralianElections_Com_Turnout_85.png,0.8506794222920885
affect_02_MEQ_37.png,AustralianElections_LPSeats_LP_33.png,0.8349916998737256
affect_02_MEQ_37.png,AustralianElections_Seats_DLP_29.png,0.848843837940373
affect_02_MEQ_37.png,baseball_bb_so_97.png,0.6034788372187947
affect_02_MEQ_37.png,baseball_cs_cs_86_invert.png,0.8272548048772681
affect_02_MEQ_37.png,baseball_cs_cs_86.png,0.8251472202335388
affect_02_MEQ_37.png,baseball_g_cs_62.png,0.6901429765888253
affect_02_MEQ_37.png,baseball_sb_gidp_19.png,0.6897549064356298
affect_02_MEQ_37.png,baseball_X2b_ibb_1.png,0.7757369814485412
affect_02_MEQ_37.png,Bechtoldt_Sentences_Letter_Series_61.png,0.8439331092161951
affect_02_MEQ_37.png,Bechtoldt_Sentences_Three_Higher_24.png,0.8461105752481446
affect_02_MEQ_37.png,biopsy_V8_V9_30.png,0.8021019212228048
affect_02_MEQ_37.png,BtheB_bdi6m_bdi8m_25.png,0.8171425952217628
affect_02_MEQ_37.png,BudgetItaly_pfood_phouse_34_invert.png,0.8218326816954182
affect_02_MEQ_37.png,BudgetItaly_pfood_phouse_34.png,0.8231932899137144
affect_02_MEQ_37.png,BudgetItaly_year_income_0.2.png,0.4284203902414975
affect_02_MEQ_37.png,Bundestag2005_FDP_Linke_31.png,0.8480563076743977
affect_02_MEQ_37.png,cache_agePct16t24_ViolentCrimesPerPop_77.png,0.7503532554642152
affect_02_MEQ_37.png,cache_agePct65up_PersPerOwnOccHous_49.png,0.7577452670191475
affect_02_MEQ_37.png,cache_AsianPerCap_MedNumBR_0.9.png,0.8006917221358323
affect_02_MEQ_37.png,cache_burglPerPop_arsons_42.png,0.8408179672878344
affect_02_MEQ_37.png,cache_communityCode_PctRecImmig5_77.png,0.7151289637769893
affect_02_MEQ_37.png,cache_FemalePctDiv_rapesPerPop_18.png,0.7524634419039422
affect_02_MEQ_37.png,cache_fold_racePctHisp_17.png,0.676752798846728
affect_02_MEQ_37.png,cache_fold_RacialMatchCommPol_17.png,0.7335741601101987
affect_02_MEQ_37.png,cache_horsepower_citympg_90.png,0.8066020488913788
affect_02_MEQ_37.png,cache_householdsize_PctSameHouse85_70.png,0.6565304458586517
affect_02_MEQ_37.png,cache_HousVacant_LemasGangUnitDeploy_55.png,0.8463967746095951
affect_02_MEQ_37.png,cache_indianPerCap_PctPolicWhite_8.png,0.8316877510721794
affect_02_MEQ_37.png,cache_LemasSwFTFieldOps_LemasPctPolicOnPatr_47.png,0.8374303719793221
affect_02_MEQ_37.png,cache_LemasSwFTPerPop_PctPolicMinor_51.png,0.8150240414751574
affect_02_MEQ_37.png,cache_medFamInc_OwnOccMedVal_49.png,0.7175132370322754
affect_02_MEQ_37.png,cache_medIncome_PctFam2Par_0.7.png,0.7277908315996102
affect_02_MEQ_37.png,cache_normalizedlosses_highwaympg_19.png,0.7636661764068251
affect_02_MEQ_37.png,cache_NumKidsBornNeverMar_burglaries_0.1.png,0.8443134938070987
affect_02_MEQ_37.png,cache_NumKindsDrugsSeiz_larcenies_30.png,0.8220653403075415
affect_02_MEQ_37.png,cache_OfficAssgnDrugUnits_LemasPctOfficDrugUn_0.4.png,0.8387238331792581
affect_02_MEQ_37.png,cache_PctEmplManu_LemasSwFTFieldOps_0.7.png,0.8306237592973815
affect_02_MEQ_37.png,cache_PctEmplManu_PctPolicAsian_0.png,0.8061373149130164
affect_02_MEQ_37.png,cache_PctEmplManu_RacialMatchCommPol_11.png,0.6982403407872214
affect_02_MEQ_37.png,cache_PctEmploy_PctKids2Par_62.png,0.6547557211905238
affect_02_MEQ_37.png,cache_PctFam2Par_ViolentCrimesPerPop_49.png,0.6998854893614752
affect_02_MEQ_37.png,cache_PctHousLess3BR_LemasPctPolicOnPatr_78.png,0.786884886824266
affect_02_MEQ_37.png,cache_PctHousLess3BR_LemasSwFTPerPop_14.png,0.8093631936969135
affect_02_MEQ_37.png,cache_PctHousOccup_nonViolPerPop_23.png,0.7720988285633613
affect_02_MEQ_37.png,cache_PctImmigRec10_MedOwnCostPctIncNoMtg_11.png,0.639487641807612
affect_02_MEQ_37.png,cache_PctKids2Par_OwnOccLowQuart_18.png,0.699744579338562
